date,actual_price,forecast_price_ag,forecast_price_naive,actual_log_return,forecast_log_return_ag,forecast_log_return_naive,forecast_volatility_ag,forecast_variance_ag,forecast_variance_ewma,actual_variance_proxy,var_thresh_ag,es_ag,violation_ag,var_thresh_ewma,es_ewma,violation_ewma
2023-12-09,72.25760651,76.57155979,75.00243378,-0.03728296,0.02070516,0.00000000,0.07008827,0.00491237,0.00369332,0.00139002,-0.09244945,-0.13131951,0,-0.09996213,-0.12535655,0
2023-12-10,74.70588684,73.72824988,72.25760651,0.03332129,0.02014843,0.00000000,0.06053095,0.00366400,0.00355512,0.00111031,-0.07773873,-0.11079913,0,-0.09807409,-0.12298887,0
2023-12-11,70.36717224,76.31168843,74.70588684,-0.05983204,0.02126722,0.00000000,0.04955614,0.00245581,0.00340843,0.00357987,-0.05884614,-0.08599520,1,-0.09602945,-0.12042480,0
2023-12-12,68.54067993,71.77680041,70.36717224,-0.02629941,0.01983446,0.00000000,0.06872621,0.00472329,0.00341872,0.00069166,-0.09145045,-0.12851504,0,-0.09617425,-0.12060639,0
2023-12-13,70.76778412,69.87294539,68.54067993,0.03197643,0.01925109,0.00000000,0.05728469,0.00328154,0.00325509,0.00102249,-0.07368871,-0.10396370,0,-0.09384453,-0.11768483,0
2023-12-14,75.62033081,72.18741171,70.76778412,0.06632130,0.01986181,0.00000000,0.05255285,0.00276180,0.00312114,0.00439852,-0.06544138,-0.09307278,0,-0.09189326,-0.11523786,0
2023-12-15,72.36898804,77.10662581,75.62033081,-0.04394731,0.01946404,0.00000000,0.05771256,0.00333074,0.00319778,0.00193137,-0.07426329,-0.10443178,0,-0.09301469,-0.11664417,0
2023-12-16,73.47350311,73.73760256,72.36898804,0.01514697,0.01873501,0.00000000,0.06236812,0.00388978,0.00312179,0.00022943,-0.08249958,-0.11529388,0,-0.09190295,-0.11525000,0
2023-12-17,71.00051880,74.91046058,73.47350311,-0.03423766,0.01936870,0.00000000,0.05148307,0.00265051,0.00294825,0.00117222,-0.06418661,-0.09129607,0,-0.08931196,-0.11200080,0
2023-12-18,74.34716034,72.27091624,71.00051880,0.04605829,0.01773460,0.00000000,0.05902371,0.00348380,0.00284169,0.00212137,-0.07810210,-0.10902806,0,-0.08768306,-0.10995809,0
2023-12-19,72.98976898,75.63298734,74.34716034,-0.01842620,0.01714705,0.00000000,0.05321710,0.00283206,0.00279847,0.00033952,-0.06914420,-0.09744065,0,-0.08701371,-0.10911870,0
2023-12-20,82.19123077,74.12402400,72.98976898,0.11872933,0.01542041,0.00000000,0.05346032,0.00285801,0.00265093,0.01409665,-0.07109083,-0.10010112,0,-0.08468895,-0.10620336,0
2023-12-21,93.85481262,83.65349975,82.19123077,0.13270043,0.01763465,0.00000000,0.07686242,0.00590783,0.00333768,0.01760940,-0.10695469,-0.14797029,0,-0.09502753,-0.11916836,0
2023-12-22,98.00369263,95.58975091,93.85481262,0.04325612,0.01831656,0.00000000,0.08912174,0.00794269,0.00419398,0.00187109,-0.12632500,-0.17325412,0,-0.10652229,-0.13358325,0
2023-12-23,107.59423065,99.98140789,98.00369263,0.09336187,0.01997909,0.00000000,0.05409688,0.00292647,0.00405461,0.00871644,-0.06777767,-0.09640667,0,-0.10473738,-0.13134490,0
2023-12-24,112.48521423,109.80174947,107.59423065,0.04445476,0.02030943,0.00000000,0.06601883,0.00435849,0.00433432,0.00197623,-0.08691598,-0.12139604,0,-0.10828982,-0.13579980,0
2023-12-25,121.14646149,114.86095849,112.48521423,0.07417846,0.02090056,0.00000000,0.05523850,0.00305129,0.00419283,0.00550244,-0.06871675,-0.09791989,0,-0.10650770,-0.13356495,0
2023-12-26,112.67673492,123.92822182,121.14646149,-0.07247727,0.02270230,0.00000000,0.06015644,0.00361880,0.00427141,0.00525296,-0.07517959,-0.10593176,0,-0.10750108,-0.13481069,0
2023-12-27,107.02379608,115.12766376,112.67673492,-0.05147176,0.02151867,0.00000000,0.07220173,0.00521309,0.00433030,0.00264934,-0.09607261,-0.13254902,0,-0.10823964,-0.13573687,0
2023-12-28,102.10456848,109.18962161,107.02379608,-0.04705373,0.02003482,0.00000000,0.06609828,0.00436898,0.00422944,0.00221405,-0.08775297,-0.12058395,0,-0.10697170,-0.13414683,0
2023-12-29,106.31151581,103.97622654,102.10456848,0.04037614,0.01816481,0.00000000,0.06511231,0.00423961,0.00410852,0.00163023,-0.08807549,-0.12015918,0,-0.10543141,-0.13221524,0
2023-12-30,101.84508514,108.15665323,106.31151581,-0.04292073,0.01720706,0.00000000,0.05560668,0.00309210,0.00395982,0.00184219,-0.07336960,-0.10141047,0,-0.10350591,-0.12980059,0
2023-12-31,101.50582123,103.40844317,101.84508514,-0.00333674,0.01523373,0.00000000,0.06290792,0.00395741,0.00383277,0.00001113,-0.08713486,-0.11925609,0,-0.10183179,-0.12770117,0
2024-01-01,109.50868225,103.11144933,101.50582123,0.07588769,0.01569429,0.00000000,0.05440024,0.00295939,0.00360347,0.00575894,-0.07270413,-0.10095691,0,-0.09873874,-0.12382236,0
2024-01-02,106.61122131,111.41654876,109.50868225,-0.02681506,0.01727203,0.00000000,0.06267370,0.00392799,0.00373280,0.00071905,-0.08478502,-0.11651332,0,-0.10049498,-0.12602476,0
2024-01-03,98.59443665,108.29292684,106.61122131,-0.07817394,0.01565107,0.00000000,0.05879468,0.00345681,0.00355197,0.00611116,-0.08002013,-0.11005663,0,-0.09803067,-0.12293441,0
2024-01-04,105.07753754,100.06183337,98.59443665,0.06368369,0.01477349,0.00000000,0.07465235,0.00557297,0.00370552,0.00405561,-0.10685420,-0.14438644,0,-0.10012718,-0.12556352,0
2024-01-05,99.97879028,106.71799850,105.07753754,-0.04974046,0.01549130,0.00000000,0.06036255,0.00364364,0.00372653,0.00247411,-0.08326624,-0.11177462,0,-0.10041057,-0.12591891,0
2024-01-06,93.85771942,101.41519410,99.97879028,-0.06317805,0.01426486,0.00000000,0.05989070,0.00358690,0.00365138,0.00399147,-0.08401634,-0.11067195,0,-0.09939304,-0.12464288,0
